[2023-01-02 14:34:23] INFO: CheckM v1.2.2
[2023-01-02 14:34:23] INFO: checkm qa -o 5 xanthomonas.ms ncbi-genomes-2023-01-01.checkm
[2023-01-02 14:34:23] INFO: CheckM data: /home/djs217/checkm
[2023-01-02 14:34:23] INFO: [CheckM - qa] Tabulating genome statistics.
[2023-01-02 14:34:23] INFO: Calculating AAI between multi-copy marker genes.
[2023-01-02 14:34:23] INFO: Reading HMM info from file.
[2023-01-02 14:34:25] INFO: Parsing HMM hits to marker genes:
Bin Id	Marker Id	Gene Id
GCA_019192985.1_ASM1919298v1_genomic	TIGR01051	JAHTMO010000004.1_76
GCA_019192985.1_ASM1919298v1_genomic	TIGR01967	JAHTMO010000001.1_493
GCA_019192985.1_ASM1919298v1_genomic	TIGR01499	JAHTMO010000003.1_47
GCA_019192985.1_ASM1919298v1_genomic	TIGR02141	JAHTMO010000014.1_81
GCA_019192985.1_ASM1919298v1_genomic	TIGR03150	JAHTMO010000007.1_21
GCA_019192985.1_ASM1919298v1_genomic	TIGR01273	JAHTMO010000011.1_138
GCA_019192985.1_ASM1919298v1_genomic	TIGR01824	JAHTMO010000007.1_22
GCA_019192985.1_ASM1919298v1_genomic	TIGR02794	JAHTMO010000001.1_512
GCA_019192985.1_ASM1919298v1_genomic	TIGR01075	JAHTMO010000009.1_13
GCA_019192985.1_ASM1919298v1_genomic	TIGR00011	JAHTMO010000003.1_142
GCA_019192985.1_ASM1919298v1_genomic	TIGR01072	JAHTMO010000001.1_354
GCA_019192985.1_ASM1919298v1_genomic	TIGR00653	JAHTMO010000005.1_155
GCA_019192985.1_ASM1919298v1_genomic	TIGR00457	JAHTMO010000002.1_314
GCA_019192985.1_ASM1919298v1_genomic	TIGR01395	JAHTMO010000010.1_96
GCA_019192985.1_ASM1919298v1_genomic	TIGR00667	JAHTMO010000010.1_78
GCA_019192985.1_ASM1919298v1_genomic	TIGR02207	JAHTMO010000004.1_407
GCA_019192985.1_ASM1919298v1_genomic	TIGR02515	JAHTMO010000014.1_61
GCA_019192985.1_ASM1919298v1_genomic	TIGR00735	JAHTMO010000012.1_84
GCA_019192985.1_ASM1919298v1_genomic	TIGR02334	JAHTMO010000007.1_33
GCA_019192985.1_ASM1919298v1_genomic	TIGR02017	JAHTMO010000002.1_331
GCA_019192985.1_ASM1919298v1_genomic	TIGR02168	JAHTMO010000002.1_319
GCA_019192985.1_ASM1919298v1_genomic	TIGR00643	JAHTMO010000014.1_51
GCA_019192985.1_ASM1919298v1_genomic	TIGR01822	JAHTMO010000003.1_59
GCA_019192985.1_ASM1919298v1_genomic	TIGR00019	JAHTMO010000003.1_130
GCA_019192985.1_ASM1919298v1_genomic	TIGR00987	JAHTMO010000001.1_23
GCA_019192985.1_ASM1919298v1_genomic	TIGR00170	JAHTMO010000018.1_7
